,Flight Name,Departure time,Arrival time,Source,Destination,No of Stop,Duration,Date of Journey,Price
1515,Air India,06:10,19:20,Bengaluru,Hyderabad,1 Stop,13h 10m,10 Feb 22,4941
1800,IndiGo,06:35,09:15,Bengaluru,Kolkata,Non Stop,2h 40m,10 Feb 22,3910
521,Go First,08:10,21:45,Ahmedabad,Kolkata,1 Stop,13h 35m,10 Feb 22,3878
6440,Air India,20:50,20:30+1D,Hyderabad,Goa In,2 Stops,23h 40m,10 Feb 22,6892
6154,IndiGo,09:55,17:35,Hyderabad,Bengaluru,1 Stop,7h 40m,10 Feb 22,4131
7896,IndiGo,09:15,18:00,Kolkata,Jaipur,1 Stop,8h 45m,10 Feb 22,6487
4968,Vistara,21:05,14:00+1D,Chennai,Mumbai,1 Stop,16h 55m,10 Feb 22,11245
6663,Air India,19:35,22:30+1D,Jaipur,Bengaluru,2 Stops,26h 55m,10 Feb 22,7409
9849,Vistara,18:30,17:30+1D,Mumbai,Guwahati,1 Stop,23h 00m,10 Feb 22,10608
4475,Vistara,07:00,14:05+1D,Chennai,Goa In,2 Stops,31h 05m,10 Feb 22,13041
4900,Air India,17:00,10:10+1D,Chennai,Mumbai,1 Stop,17h 10m,10 Feb 22,4355
65,Air India,21:00,17:05+1D,Ahmedabad,Bengaluru,2 Stops,20h 05m,10 Feb 22,6867
8933,Go First,13:50,00:45+1D,Lucknow,Pune,1 Stop,10h 55m,10 Feb 22,4146
4431,Air India,08:30,14:45+1D,Chennai,Goa In,2 Stops,30h 15m,10 Feb 22,7288
6022,Air India,09:35,21:30+1D,Hyderabad,Ahmedabad,2 Stops,35h 55m,10 Feb 22,6633
9817,Air India,08:05,18:45+1D,Mumbai,Guwahati,3 Stops,34h 40m,10 Feb 22,8196
7619,Vistara,20:25,09:55+1D,Kolkata,Chennai,1 Stop,13h 30m,10 Feb 22,11673
2530,Vistara,07:55,11:55+1D,Bengaluru,Srinagar,2 Stops,28h 00m,10 Feb 22,13117
2715,Air India,14:35,20:05,Bhubaneswar,Kolkata,1 Stop,5h 30m,10 Feb 22,5356
4290,Air India,20:20,23:55+1D,Chennai,Bengaluru,1 Stop,27h 35m,10 Feb 22,5049
8289,Vistara,15:25,20:05,Lucknow,Ahmedabad,1 Stop,4h 40m,10 Feb 22,7786
8729,Air India,08:55,18:00,Lucknow,Mumbai,2 Stops,9h 05m,10 Feb 22,4025
2555,Vistara,21:40,11:55+1D,Bengaluru,Srinagar,2 Stops,14h 15m,10 Feb 22,14627
4815,Air India,09:55,12:10+1D,Chennai,Kolkata,2 Stops,26h 15m,10 Feb 22,6305
8968,Go First,12:15,18:20,Mumbai,Ahmedabad,1 Stop,6h 05m,10 Feb 22,3792
5752,Vistara,18:05,16:20+1D,Guwahati,Chennai,1 Stop,22h 15m,10 Feb 22,12329
6870,Air India,14:00,15:20+1D,Jaipur,Hyderabad,2 Stops,25h 20m,10 Feb 22,7077
2379,Go First,14:00,01:05+1D,Bengaluru,Pune,1 Stop,11h 05m,10 Feb 22,5175
8762,Air India,08:55,23:25+1D,Lucknow,Mumbai,2 Stops,38h 30m,10 Feb 22,5710
1661,Air India,07:55,07:10+1D,Bengaluru,Jaipur,2 Stops,23h 15m,10 Feb 22,7226
5115,Go First,17:00,22:45,Goa In,Bengaluru,1 Stop,5h 45m,10 Feb 22,3608
9337,IndiGo,08:30,18:50,Mumbai,Bhubaneswar,1 Stop,10h 20m,10 Feb 22,2943
5757,Vistara,16:05,08:50+1D,Guwahati,Chennai,2 Stops,16h 45m,10 Feb 22,16956
2331,Vistara,08:30,10:05+1D,Bengaluru,Patna,2 Stops,25h 35m,10 Feb 22,15081
9572,Vistara,07:30,22:45,Mumbai,Chennai,1 Stop,15h 15m,10 Feb 22,11305
8137,Vistara,20:35,10:05+1D,Kolkata,Patna,2 Stops,37h 30m,10 Feb 22,16744
355,Air Asia,18:15,19:35,Hyderabad,Goa,Non Stop,1h 20m,"Thu, 3 Feb","2,253"
9281,Vistara,06:00,18:50,Mumbai,Bengaluru,1 Stop,12h 50m,10 Feb 22,11127
7325,Air India,14:40,18:40+1D,Kolkata,Ahmedabad,2 Stops,28h 00m,10 Feb 22,6692
5717,SpiceJet,20:05,18:25+1D,Guwahati,Chennai,1 Stop,22h 20m,10 Feb 22,5227
4193,Vistara,20:30,07:50+1D,Chennai,Ahmedabad,2 Stops,35h 20m,10 Feb 22,16171
1799,IndiGo,18:00,20:40,Bengaluru,Kolkata,Non Stop,2h 40m,10 Feb 22,3391
8548,Air India,17:05,20:30+1D,Lucknow,Goa In,3 Stops,27h 25m,10 Feb 22,8866
2791,Air India,21:35,23:55+1D,Bhubaneswar,Mumbai,2 Stops,26h 20m,10 Feb 22,6635
6304,IndiGo,14:25,19:30,Hyderabad,Chennai,1 Stop,5h 05m,10 Feb 22,4451
5043,Air India,06:05,14:10+1D,Chennai,Patna,2 Stops,32h 05m,10 Feb 22,6356
6055,Vistara,13:25,20:05,Hyderabad,Ahmedabad,1 Stop,6h 40m,10 Feb 22,9353
6239,Vistara,08:30,17:45,Hyderabad,Bengaluru,1 Stop,9h 15m,10 Feb 22,7925
525,Go First,12:25,14:55,Patna,Bangalore,Non Stop,2h 30m,"Sat, 26 Feb","4,000"
8907,Go First,10:45,22:00,Lucknow,Pune,1 Stop,11h 15m,10 Feb 22,3572
7277,Vistara,19:55,14:00+1D,Kochi,Mumbai,1 Stop,18h 05m,10 Feb 22,12496
4314,Air India,14:55,16:15+1D,Chennai,Bengaluru,2 Stops,25h 20m,10 Feb 22,6695
9066,Air India,07:05,18:15+1D,Mumbai,Ahmedabad,4 Stops,35h 10m,10 Feb 22,7785
2761,Air India,14:05,21:15,Bhubaneswar,Mumbai,1 Stop,7h 10m,10 Feb 22,4861
970,Vistara,07:00,07:50+1D,Bengaluru,Ahmedabad,1 Stop,24h 50m,10 Feb 22,10489
628,Air India,21:00,21:15+1D,Ahmedabad,Mumbai,1 Stop,24h 15m,10 Feb 22,4196
809,Air India,08:20,12:10+1D,Ahmedabad,Patna,3 Stops,27h 50m,10 Feb 22,7457
4002,Air India,13:15,10:20+1D,Delhi,Patna,2 Stops,21h 05m,10 Feb 22,7602
6124,Vistara,21:35,07:50+1D,Hyderabad,Ahmedabad,2 Stops,34h 15m,10 Feb 22,14741
4970,Vistara,21:05,16:30+1D,Chennai,Mumbai,1 Stop,19h 25m,10 Feb 22,11245
2613,Air India,15:00,11:10+1D,Bhubaneswar,Bengaluru,1 Stop,20h 10m,10 Feb 22,5027
109,IndiGo,10:05,21:35,Mumbai,Varanasi,1 Stop,11h 30m,"Thu, 3 Mar","3,402"
5994,Air India,16:15,19:55+1D,Hyderabad,Ahmedabad,2 Stops,27h 40m,10 Feb 22,5873
7549,Vistara,10:15,19:55,Kolkata,Bhubaneswar,1 Stop,9h 40m,10 Feb 22,10423
2764,Air India,21:35,09:05+1D,Bhubaneswar,Mumbai,1 Stop,11h 30m,10 Feb 22,4861
110,GO FIRST,09:55,12:10,Mumbai,Delhi,Non-Stop,02h 15m,29 Jan,2219
5812,IndiGo,12:15,18:40,Guwahati,Mumbai,1 Stop,6h 25m,10 Feb 22,4397
3709,Vistara,19:50,09:40+1D,Delhi,Kolkata,1 Stop,13h 50m,10 Feb 22,12988
3912,Vistara,19:50,10:15+1D,Delhi,Mumbai,1 Stop,14h 25m,10 Feb 22,12148
227,Air India,19:20,14:45+1D,Ahmedabad,Goa In,1 Stop,19h 25m,10 Feb 22,4735
9180,Vistara,16:00,17:45,Mumbai,Bengaluru,Non Stop,1h 45m,10 Feb 22,5101
2795,Air India,14:05,15:50+1D,Bhubaneswar,Mumbai,2 Stops,25h 45m,10 Feb 22,6933
967,Vistara,17:50,07:50+1D,Bengaluru,Ahmedabad,1 Stop,14h 00m,10 Feb 22,10489
4,Go First,21:30,23:40,Ahmedabad,Bengaluru,Non Stop,2h 10m,10 Feb 22,5898
6262,Vistara,10:20,23:20,Hyderabad,Bengaluru,1 Stop,13h 00m,10 Feb 22,11317
8922,Air India,08:55,21:10,Lucknow,Pune,1 Stop,12h 15m,10 Feb 22,3796
7272,Air India,20:10,16:35+1D,Kochi,Mumbai,2 Stops,20h 25m,10 Feb 22,8780
7770,Air India,13:00,12:10+1D,Kolkata,Guwahati,2 Stops,23h 10m,10 Feb 22,7377
929,Air India,13:20,19:55+1D,Bengaluru,Ahmedabad,2 Stops,30h 35m,10 Feb 22,6831
1758,Air India,19:00,19:15+1D,Bengaluru,Kochi,2 Stops,24h 15m,10 Feb 22,5590
4071,Air India,19:00,12:05+1D,Delhi,Pune,2 Stops,17h 05m,10 Feb 22,6791
8953,Air India,11:05,06:35+1D,Lucknow,Pune,2 Stops,19h 30m,10 Feb 22,8172
7606,Air India,13:00,16:15+1D,Kolkata,Chennai,4 Stops,27h 15m,10 Feb 22,7758
4015,Air India,07:05,10:20+1D,Delhi,Patna,2 Stops,27h 15m,10 Feb 22,9198
4727,Air India,20:20,07:10+1D,Chennai,Jaipur,1 Stop,10h 50m,10 Feb 22,3519
493,Go First,22:30,"00:30
+ 1 day",Pune,New Delhi,Non Stop,2h 00m,"Mon, 21 Mar","2,564"
8923,Air India,20:15,12:05+1D,Lucknow,Pune,2 Stops,15h 50m,10 Feb 22,3796
1647,Air India,13:20,13:15+1D,Bengaluru,Jaipur,2 Stops,23h 55m,10 Feb 22,6970
1668,IndiGo,08:05,18:30,Bengaluru,Jaipur,1 Stop,10h 25m,10 Feb 22,3301
2751,IndiGo,11:40,21:35,Bhubaneswar,Mumbai,1 Stop,9h 55m,10 Feb 22,3273
2009,Go First,07:20,15:35,Bengaluru,Mumbai,1 Stop,8h 15m,10 Feb 22,5120
1351,Air India,07:35,12:10+1D,Bengaluru,Guwahati,2 Stops,28h 35m,10 Feb 22,6119
8840,Vistara,15:25,22:50,Lucknow,Mumbai,1 Stop,7h 25m,10 Feb 22,8500
6746,Air India,03:45,20:30+1D,Jaipur,Goa In,2 Stops,40h 45m,10 Feb 22,6829
9053,Air India,09:50,18:40+1D,Mumbai,Ahmedabad,2 Stops,32h 50m,10 Feb 22,7613
5490,Vistara,13:20,08:05+1D,Goa In,Pune,2 Stops,18h 45m,10 Feb 22,15605
3348,Vistara,15:30,12:45+1D,Delhi,Goa In,1 Stop,21h 15m,10 Feb 22,12096
9288,Vistara,06:30,22:40,Mumbai,Bengaluru,1 Stop,16h 10m,10 Feb 22,11127
8912,Go First,07:30,18:40,Lucknow,Pune,1 Stop,11h 10m,10 Feb 22,3572
8853,Vistara,15:25,10:00+1D,Lucknow,Mumbai,2 Stops,18h 35m,10 Feb 22,10014
7074,Air India,13:30,17:25+1D,Jaipur,Mumbai,2 Stops,27h 55m,10 Feb 22,6847
4343,Vistara,20:30,19:30+1D,Chennai,Bengaluru,2 Stops,23h 00m,10 Feb 22,12274
2341,Go First,05:40,06:50,Bengaluru,Pune,Non Stop,1h 10m,10 Feb 22,1713
326,Vistara,08:25,12:45+1D,Ahmedabad,Goa In,2 Stops,28h 20m,10 Feb 22,16768
685,Air India,22:20,15:40+1D,Ahmedabad,Mumbai,2 Stops,17h 20m,10 Feb 22,6961
3817,Air India,10:15,15:40,Delhi,Mumbai,1 Stop,5h 25m,10 Feb 22,5239
8198,Air India,13:00,12:05+1D,Kolkata,Pune,3 Stops,23h 05m,10 Feb 22,6815
2496,Air India,13:00,13:40+1D,Bengaluru,Srinagar,3 Stops,24h 40m,10 Feb 22,9255
172,SpiceJet,20:25,22:10,Mumbai,Bangalore,Non Stop,1h 45m,"Mon, 28 Feb","2,124"
6918,Air India,03:45,13:55,Jaipur,Kolkata,2 Stops,10h 10m,10 Feb 22,6206
6890,AirAsia I.,11:50,19:45,Jaipur,Kolkata,2 Stops,7h 55m,10 Feb 22,3598
2293,Vistara,18:25,10:05+1D,Bengaluru,Patna,2 Stops,15h 40m,10 Feb 22,13964
7844,Vistara,10:25,20:55,Kolkata,Hyderabad,1 Stop,10h 30m,10 Feb 22,10245
6646,Air India,19:35,17:05+1D,Jaipur,Bengaluru,2 Stops,21h 30m,10 Feb 22,6706
2653,Air India,15:00,23:55+1D,Bhubaneswar,Bengaluru,3 Stops,32h 55m,10 Feb 22,8140
1923,Vistara,19:00,16:55+1D,Bengaluru,Kolkata,1 Stop,21h 55m,10 Feb 22,10489
5699,Vistara,12:40,19:30+1D,Guwahati,Bengaluru,2 Stops,30h 50m,10 Feb 22,14669
3269,Air India,07:00,14:45,Delhi,Goa In,1 Stop,7h 45m,10 Feb 22,3986
2976,Go First,16:40,23:40,Delhi,Bengaluru,1 Stop,7h 00m,10 Feb 22,7407
154,Indigo,10:55,21:50,Delhi,Kolkata,1-Stop,10h 55m,30 Jan,3425
9085,Air India,09:50,07:50+1D,Mumbai,Ahmedabad,2 Stops,22h 00m,10 Feb 22,10563
4874,IndiGo,09:40,11:35,Chennai,Mumbai,Non Stop,1h 55m,10 Feb 22,1828
5979,Air India,06:30,18:40+1D,Hyderabad,Ahmedabad,2 Stops,36h 10m,10 Feb 22,5291
271,Air India,22:20,17:00+1D,Ahmedabad,Goa In,3 Stops,18h 40m,10 Feb 22,7650
6000,Air India,11:20,19:55+1D,Hyderabad,Ahmedabad,2 Stops,32h 35m,10 Feb 22,5873
505,Air India,19:20,07:10+1D,Ahmedabad,Jaipur,2 Stops,35h 50m,10 Feb 22,6558
2247,Air India,09:00,12:10+1D,Bengaluru,Patna,3 Stops,27h 10m,10 Feb 22,7418
2817,Vistara,13:00,23:50,Bhubaneswar,Mumbai,1 Stop,10h 50m,10 Feb 22,10207
4264,Go First,05:00,14:10,Chennai,Bengaluru,1 Stop,9h 10m,10 Feb 22,3438
5,Indigo,20:20,05:55,Delhi,Mumbai,1-Stop,09h 35m,14 Jan,2277
5356,Vistara,14:40,20:15,Goa In,Mumbai,1 Stop,5h 35m,10 Feb 22,9200
5375,SpiceJet,19:30,20:05+1D,Goa In,Pune,1 Stop,24h 35m,10 Feb 22,5462
3246,Go First,13:30,23:25,Delhi,Goa In,1 Stop,9h 55m,10 Feb 22,3892
3172,SpiceJet,11:55,18:05,Delhi,Chennai,1 Stop,6h 10m,10 Feb 22,7869
1205,Vistara,21:40,19:55+1D,Bengaluru,Chennai,1 Stop,22h 15m,10 Feb 22,9239
1625,Air India,06:45,07:10+1D,Bengaluru,Jaipur,2 Stops,24h 25m,10 Feb 22,5541
5232,Air India,23:00,23:35+1D,Goa In,Hyderabad,3 Stops,24h 35m,10 Feb 22,5897
3859,Vistara,21:40,23:50,Delhi,Mumbai,Non Stop,2h 10m,10 Feb 22,5953
4345,Vistara,12:30,19:30+1D,Chennai,Bengaluru,2 Stops,31h 00m,10 Feb 22,12274
9619,Go First,08:00,23:10,Mumbai,Goa In,1 Stop,15h 10m,10 Feb 22,4260
8538,IndiGo,07:30,14:35,Lucknow,Goa In,1 Stop,7h 05m,10 Feb 22,7461
1399,Vistara,17:50,17:30+1D,Bengaluru,Guwahati,1 Stop,23h 40m,10 Feb 22,11874
496,Air India,22:20,13:15+1D,Ahmedabad,Jaipur,2 Stops,14h 55m,10 Feb 22,6163
257,Air India,22:20,13:15+1D,Ahmedabad,Goa In,1 Stop,14h 55m,10 Feb 22,6047
8727,Air India,08:55,10:10+1D,Lucknow,Mumbai,1 Stop,25h 15m,10 Feb 22,4025
9036,Air India,21:30,07:50+1D,Mumbai,Ahmedabad,1 Stop,10h 20m,10 Feb 22,7187
131,GO FIRST,12:30,14:10,Delhi,Patna,Non-Stop,01h 40m,02 Jan,3604
8704,Go First,06:30,08:50,Lucknow,Mumbai,Non Stop,2h 20m,10 Feb 22,3752
3419,Air India,14:45,07:50+1D,Delhi,Hyderabad,3 Stops,41h 05m,10 Feb 22,5740
7977,Air India,19:00,21:35+1D,Kolkata,Mumbai,3 Stops,26h 35m,10 Feb 22,6229
17,IndiGo,08:40,18:55,Ahmedabad,Bengaluru,1 Stop,10h 15m,10 Feb 22,4160
9090,Vistara,06:00,20:05,Mumbai,Ahmedabad,1 Stop,14h 05m,10 Feb 22,10666
1120,Air India,06:10,14:25+1D,Bengaluru,Bhubaneswar,2 Stops,32h 15m,10 Feb 22,7886
8881,Vistara,15:25,15:15+1D,Lucknow,Mumbai,2 Stops,47h 50m,10 Feb 22,13910
6618,Air India,03:45,18:30+1D,Jaipur,Bengaluru,3 Stops,38h 45m,10 Feb 22,6051
9551,Vistara,21:55,09:55+1D,Mumbai,Chennai,1 Stop,12h 00m,10 Feb 22,11127
5448,Vistara,14:40,19:35+1D,Goa In,Pune,2 Stops,28h 55m,10 Feb 22,15226
9626,Air India,05:45,20:30,Mumbai,Goa In,2 Stops,14h 45m,10 Feb 22,5458
9653,Air India,18:00,20:30+1D,Mumbai,Goa In,2 Stops,26h 30m,10 Feb 22,7080
7984,Air India,14:40,21:15+1D,Kolkata,Mumbai,2 Stops,30h 35m,10 Feb 22,7004
8393,Air India,08:55,19:10+1D,Lucknow,Bengaluru,2 Stops,34h 15m,10 Feb 22,7172
7743,Vistara,07:10,12:45+1D,Kolkata,Goa In,2 Stops,29h 35m,10 Feb 22,17280
9052,Air India,09:50,21:30+1D,Mumbai,Ahmedabad,2 Stops,35h 40m,10 Feb 22,7613
4858,Vistara,17:10,19:35+1D,Chennai,Kolkata,1 Stop,26h 25m,10 Feb 22,11067
4634,Air India,06:20,21:35,Chennai,Hyderabad,1 Stop,15h 15m,10 Feb 22,3561
8779,Air India,17:05,23:25+1D,Lucknow,Mumbai,3 Stops,30h 20m,10 Feb 22,6350
106,SpiceJet,07:20,09:35,Mumbai,Delhi,Non-Stop,02h 15m,30 Jan,2219
9468,Vistara,08:45,19:55,Mumbai,Bhubaneswar,1 Stop,11h 10m,10 Feb 22,10591
1453,Vistara,18:25,17:30+1D,Bengaluru,Guwahati,2 Stops,23h 05m,10 Feb 22,15184
9859,Vistara,22:45,12:05+1D,Mumbai,Guwahati,1 Stop,13h 20m,10 Feb 22,10608
9125,IndiGo,06:55,08:30,Mumbai,Bengaluru,Non Stop,1h 35m,10 Feb 22,2122
354,IndiGo,16:05,17:25,Hyderabad,Goa,Non Stop,1h 20m,"Mon, 7 Feb","2,253"
2726,Air India,14:05,05:15+1D,Bhubaneswar,Kolkata,2 Stops,15h 10m,10 Feb 22,8494
2093,Air India,21:00,17:25+1D,Bengaluru,Mumbai,2 Stops,20h 25m,10 Feb 22,8288
4146,Air India,08:30,19:55+1D,Chennai,Ahmedabad,2 Stops,35h 25m,10 Feb 22,7288
6548,Air India,19:35,07:50+1D,Jaipur,Ahmedabad,1 Stop,12h 15m,10 Feb 22,6674
1084,Air India,21:00,20:55+1D,Bengaluru,Bhubaneswar,1 Stop,23h 55m,10 Feb 22,5301
8138,Vistara,20:35,10:05+1D,Kolkata,Patna,2 Stops,37h 30m,10 Feb 22,16744
9411,Air India,09:30,10:50+1D,Mumbai,Bhubaneswar,3 Stops,25h 20m,10 Feb 22,6423
4423,Air India,17:00,00:35+1D,Chennai,Goa In,1 Stop,7h 35m,10 Feb 22,5892
4160,Air India,09:55,18:15+1D,Chennai,Ahmedabad,3 Stops,32h 20m,10 Feb 22,7591
91,Air India,19:20,23:55+1D,Ahmedabad,Bengaluru,2 Stops,28h 35m,10 Feb 22,8089
2304,Vistara,09:30,10:05+1D,Bengaluru,Patna,2 Stops,24h 35m,10 Feb 22,13964
7656,Air India,14:40,22:25+1D,Kolkata,Goa In,2 Stops,31h 45m,10 Feb 22,5988
9639,Air India,15:35,13:15+1D,Mumbai,Goa In,2 Stops,21h 40m,10 Feb 22,6085
7313,SpiceJet,09:15,23:05,Kolkata,Ahmedabad,1 Stop,13h 50m,10 Feb 22,5575
9124,Vistara,11:25,20:05,Mumbai,Ahmedabad,2 Stops,8h 40m,10 Feb 22,14350
289,IndiGo,16:20,17:50,Bangalore,Hyderabad,Non Stop,1h 30m,"Tue, 8 Mar","1,714"
2096,Air India,07:55,20:00+1D,Bengaluru,Mumbai,2 Stops,36h 05m,10 Feb 22,8461
6063,Vistara,10:20,22:35,Hyderabad,Ahmedabad,1 Stop,12h 15m,10 Feb 22,9353
5750,Vistara,12:40,20:15,Guwahati,Chennai,1 Stop,7h 35m,10 Feb 22,12329
4590,Vistara,12:30,12:05+1D,Chennai,Guwahati,2 Stops,23h 35m,10 Feb 22,15848
1493,Air India,07:35,08:50,Bengaluru,Hyderabad,Non Stop,1h 15m,10 Feb 22,1964
130,Air India,05:05,06:25,Mumbai,Goa,Non Stop,1h 20m,"Mon, 14 Mar","1,890"
4917,Air India,17:00,18:00+1D,Chennai,Mumbai,2 Stops,25h 00m,10 Feb 22,4355
566,Air India,22:20,19:25+1D,Ahmedabad,Kolkata,2 Stops,21h 05m,10 Feb 22,7097
5426,Air India,21:00,18:10+1D,Goa In,Pune,2 Stops,21h 10m,10 Feb 22,7065
8914,Go First,07:30,22:00,Lucknow,Pune,1 Stop,14h 30m,10 Feb 22,3572
7840,Air India,10:25,19:20+1D,Kolkata,Hyderabad,3 Stops,32h 55m,10 Feb 22,8782
102,Indigo,20:30,22:35,Mumbai,Delhi,Non-Stop,02h 05m,15 Jan,2219
6137,IndiGo,06:45,08:15,Hyderabad,Bengaluru,Non Stop,1h 30m,10 Feb 22,1774
3435,Air India,09:00,21:05+1D,Delhi,Hyderabad,3 Stops,36h 05m,10 Feb 22,5929
6760,Air India,14:00,17:00+1D,Jaipur,Goa In,3 Stops,27h 00m,10 Feb 22,7181
9136,Go First,21:00,22:45,Mumbai,Bengaluru,Non Stop,1h 45m,10 Feb 22,2122
7709,Vistara,10:25,14:05+1D,Kolkata,Goa In,2 Stops,27h 40m,10 Feb 22,14896
9489,IndiGo,08:30,15:55,Mumbai,Chennai,1 Stop,7h 25m,10 Feb 22,3048
218,Vistara,17:30,19:15,Mumbai,Bangalore,Non-Stop,01h 45m,29 Jan,2184
4088,Go First,05:00,19:25,Chennai,Ahmedabad,1 Stop,14h 25m,10 Feb 22,3629
8801,Air India,20:15,20:05+1D,Lucknow,Mumbai,2 Stops,23h 50m,10 Feb 22,6488
1319,AirAsia I.,17:30,20:40,Bengaluru,Guwahati,Non Stop,3h 10m,10 Feb 22,8751
136,Air India,10:35,12:10,Delhi,Patna,Non-Stop,01h 35m,29 Jan,4251
6095,Vistara,08:30,07:50+1D,Hyderabad,Ahmedabad,2 Stops,23h 20m,10 Feb 22,14741
1088,Air India,07:35,13:05+1D,Bengaluru,Bhubaneswar,2 Stops,29h 30m,10 Feb 22,5741
6935,Air India,14:00,09:00+1D,Jaipur,Kolkata,2 Stops,19h 00m,10 Feb 22,6529
4104,Air India,06:05,21:30,Chennai,Ahmedabad,1 Stop,15h 25m,10 Feb 22,4044
5665,Air India,18:10,16:15+1D,Guwahati,Bengaluru,2 Stops,22h 05m,10 Feb 22,7227
5335,Go First,06:40,07:50,Goa In,Mumbai,Non Stop,1h 10m,10 Feb 22,1998
8851,Vistara,10:05,23:00,Lucknow,Mumbai,2 Stops,12h 55m,10 Feb 22,10014
6805,Air India,19:35,21:15+1D,Jaipur,Hyderabad,2 Stops,25h 40m,10 Feb 22,5552
686,Air India,22:20,17:50+1D,Ahmedabad,Mumbai,3 Stops,19h 30m,10 Feb 22,6973
687,Air India,22:20,20:05+1D,Ahmedabad,Mumbai,2 Stops,21h 45m,10 Feb 22,6973
8558,Vistara,15:25,14:05+1D,Lucknow,Goa In,2 Stops,22h 40m,10 Feb 22,13687
8710,Go First,10:45,19:05,Lucknow,Mumbai,1 Stop,8h 20m,10 Feb 22,3734
35,GO FIRST,21:15,23:30,Mumbai,Delhi,Non-Stop,02h 15m,02 Jan,2219
6562,Air India,14:00,07:50+1D,Jaipur,Ahmedabad,2 Stops,17h 50m,10 Feb 22,9162
8559,Vistara,15:25,14:05+1D,Lucknow,Goa In,2 Stops,22h 40m,10 Feb 22,13687
9877,IndiGo,10:45,12:05,Mumbai,Hyderabad,Non Stop,1h 20m,10 Feb 22,2106
6254,Vistara,13:25,20:25,Hyderabad,Bengaluru,1 Stop,7h 00m,10 Feb 22,11317
8445,Vistara,10:05,22:50,Lucknow,Bengaluru,2 Stops,12h 45m,10 Feb 22,13225
1185,Air India,19:00,10:55+1D,Bengaluru,Chennai,2 Stops,15h 55m,10 Feb 22,5314
3220,Vistara,14:15,23:05,Delhi,Chennai,2 Stops,8h 50m,10 Feb 22,16210
134,Indigo,18:10,19:45,Delhi,Patna,Non-Stop,01h 35m,29 Jan,4251
5550,Air India,15:45,18:30+1D,Guwahati,Bengaluru,2 Stops,26h 45m,10 Feb 22,6994
4588,Vistara,09:45,17:30+1D,Chennai,Guwahati,2 Stops,31h 45m,10 Feb 22,15848
7775,Vistara,10:15,17:30,Kolkata,Guwahati,1 Stop,7h 15m,10 Feb 22,11154
6780,AirAsia I.,11:50,13:40,Jaipur,Hyderabad,Non Stop,1h 50m,10 Feb 22,4590
2349,IndiGo,16:20,23:05,Bengaluru,Pune,1 Stop,6h 45m,10 Feb 22,4652
5709,Air India,11:40,17:05,Guwahati,Chennai,1 Stop,5h 25m,10 Feb 22,4052
4200,Vistara,20:30,20:05+1D,Chennai,Ahmedabad,2 Stops,23h 35m,10 Feb 22,16171
2810,Air India,14:05,15:40+1D,Bhubaneswar,Mumbai,2 Stops,25h 35m,10 Feb 22,7311
5063,Air India,06:05,10:20+1D,Chennai,Patna,3 Stops,28h 15m,10 Feb 22,7852
4943,Air India,06:05,17:25+1D,Chennai,Mumbai,2 Stops,35h 20m,10 Feb 22,6905
8085,Vistara,10:15,21:35,Kolkata,Mumbai,2 Stops,11h 20m,10 Feb 22,15622
463,Vistara,08:25,12:45+1D,Ahmedabad,Goa In,2 Stops,28h 20m,10 Feb 22,16768
8717,Go First,06:10,15:35,Lucknow,Mumbai,1 Stop,9h 25m,10 Feb 22,3734
558,Air India,22:20,08:05+1D,Ahmedabad,Kolkata,2 Stops,33h 45m,10 Feb 22,6065
9491,IndiGo,16:20,22:05,Mumbai,Chennai,1 Stop,5h 45m,10 Feb 22,3274
5403,Air India,07:05,06:35+1D,Goa In,Pune,3 Stops,23h 30m,10 Feb 22,6046
4048,IndiGo,09:40,14:55,Delhi,Pune,1 Stop,5h 15m,10 Feb 22,5038
9605,Go First,04:55,06:10,Mumbai,Goa In,Non Stop,1h 15m,10 Feb 22,1996
7842,Air India,10:25,10:30+1D,Kolkata,Hyderabad,3 Stops,24h 05m,10 Feb 22,8782
3153,Air India,12:55,10:55+1D,Delhi,Chennai,2 Stops,22h 00m,10 Feb 22,6756
8310,IndiGo,08:30,16:05,Lucknow,Bengaluru,1 Stop,7h 35m,10 Feb 22,4158
8806,Air India,17:05,15:50+1D,Lucknow,Mumbai,3 Stops,22h 45m,10 Feb 22,6738
207,Air India,18:50,"08:05
+ 1 day",Bangalore,Kolkata,1 Stop,13h 15m,"Sat, 5 Feb","3,226"
108,Vistara,08:25,17:00,Ahmedabad,Bengaluru,1 Stop,8h 35m,10 Feb 22,10372
2080,Air India,10:25,17:25+1D,Bengaluru,Mumbai,2 Stops,31h 00m,10 Feb 22,7868
2732,Vistara,13:00,22:45,Bhubaneswar,Kolkata,1 Stop,9h 45m,10 Feb 22,10207
7669,IndiGo,06:50,17:25,Kolkata,Goa In,1 Stop,10h 35m,10 Feb 22,6907
6801,IndiGo,05:15,10:40,Jaipur,Hyderabad,1 Stop,5h 25m,10 Feb 22,4955
2655,Air India,15:00,16:15+1D,Bhubaneswar,Bengaluru,2 Stops,25h 15m,10 Feb 22,8140
6004,Air India,08:25,21:30,Hyderabad,Ahmedabad,2 Stops,13h 05m,10 Feb 22,6159
2386,Air India,07:35,21:10+1D,Bengaluru,Pune,2 Stops,37h 35m,10 Feb 22,5530
5449,Vistara,14:40,19:35+1D,Goa In,Pune,2 Stops,28h 55m,10 Feb 22,15226
